id,station_code,station_category,zone_id,name,registration_code,address1,address2,postcode,state_id,phone_number,fax_number,email,date_established,district_id,area_size,norm,jadual_tugas,parliament_id,dun_id,latitude,longitude,chief_id,chief_name,remarks,deleted,created_by,updated_by,deleted_by,deleted_at,created_at,updated_at
db3e02f1-884b-488d-a637-10c0a51eebdb,APG,A,4c54aad0-8409-4564-826f-563bb0718fa4,BBP Ampang,BB085,"Jalan Merdeka,","Ampang,",68000,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-42924444,,bbp_ampang@bomba.gov.my,,,,,,,,3.14635,101.7632,,,,false,,,,,2025-03-19T20:41:50.906Z,2025-03-19T20:41:50.906Z
4ba69bc9-e13e-46d4-9ee0-2fc73c5b57ce,THO,C,e1df520b-4366-432f-bdaa-2d101af70e94,BBP Bandar Tun Hussein Onn,BB0295,Jalan Suakasih,Cheras,43200,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-90818634,,bbp_btho@bomba.gov.my,,,,,,,,3.135727,101.41193,,,,false,,,,,2025-03-19T20:41:50.908Z,2025-03-19T20:41:50.908Z
393a1805-4531-4d48-8b6c-abaa52e2bcb9,BGI,A,cffb5fa7-38ee-4bfb-b7a2-3a8ac7d95b7b,BBP Bangi,BB0118,"Persiaran Kemajuan, Seksyen 16,",Bandar Baru Bangi,43650,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-89254444,03-89262344,bbp_bangi@bomba.gov.my,,,,,,,,2.936897,101.763,,,,false,,,,,2025-03-19T20:41:50.910Z,2025-03-19T20:41:50.910Z
aeef6dfa-e93d-4ec6-bc28-c227a62066b7,BTN,C,5c177df4-90ec-4433-8462-44785ed5d759,BBP Banting,BB027,"Jalan Sultan Abdul Samad,",Banting,42700,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-31871444,03-31815055,bbp_banting@bomba.gov.my,,,,,,,,2.81465,101.5059,,,,false,,,,,2025-03-19T20:41:50.913Z,2025-03-19T20:41:50.913Z
47651cb9-0009-433b-8a87-8838cefd4258,BTA,C,10e05ecf-e4ec-4ba0-8406-e1fbc6f95012,BBP Batu Arang,BB062,"Batu Arang,",,48100,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-60352444,03-60353040,bbp_arang@bomba.gov.my,,,,,,,,3.31865,101.47306,,,,false,,,,,2025-03-19T20:41:50.916Z,2025-03-19T20:41:50.916Z
061303b4-6ec5-4814-a19c-1620e38f78ef,BJY,C,c6c7254c-6aec-43c7-ab2f-aa41471e90bf,BBP Bestari Jaya,BB069,BALAI BOMBA DAN PENYELAMAT BESTARI JAYA 45600 BESTARI JAYA,,45600,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-32719444,03-32717395,bbp-bestari.bomba@1govuc.gov.my,,,,,,,,3.37866,101.40296,,,,false,,,,,2025-03-19T20:41:50.918Z,2025-03-19T20:41:50.918Z
edad74b6-6518-438a-97ce-6f37426695b8,BKS,C,c6c7254c-6aec-43c7-ab2f-aa41471e90bf,BBP Bukit Sentosa,BB0308,"Jalan Cempaka, Bukit Sentosa 1,",Rawang,48300,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-60214144,,bbp_bukitsentosa@bomba.gov.my,,,,,,,,3.401762,101.5618,,,,false,,,,,2025-03-19T20:41:50.921Z,2025-03-19T20:41:50.921Z
94e691f5-a2ac-4fbe-bb7f-5228dc2c49f3,CBY,B,5c177df4-90ec-4433-8462-44785ed5d759,BBP Cyberjaya,BB0225,"Persiaran APEC,","Cyberjaya,",63000,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-83184944,03-83184944,bbp_cyberjaya@1govuc.gov.my,,,,,,,,2.91277,101.65686,,,,false,,,,,2025-03-19T20:41:50.923Z,2025-03-19T20:41:50.923Z
a503fcb9-b8d1-4d43-977d-d7fbd299d657,DMS,A,e1df520b-4366-432f-bdaa-2d101af70e94,BBP Damansara,BB0166,"Jalan SS 2/2,","Petaling Jaya,",47300,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-77294444,03-77292341,bbp_damansara@bomba.gov.my,,,,,,,,3.1256716,101.62315,,,,false,,,,,2025-03-19T20:41:50.925Z,2025-03-19T20:41:50.925Z
9fd4a09a-2891-48ef-b3b4-2f34d5b08bc5,DKL,D,5c177df4-90ec-4433-8462-44785ed5d759,BBP Dengkil,BB0330,Balai Bomba dan Penyelamat Dengkil,"Lot 109431, Mukim Dengkil, Dengkil",43800,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-87627806,,bbpdengkil@bomba.gov.my,,,,,,,,2.8573074,101.67089,,,,false,,,,,2025-03-19T20:41:50.928Z,2025-03-19T20:41:50.928Z
66f491ee-cd10-4d73-8fea-6a22db21b208,JPC,C,e1df520b-4366-432f-bdaa-2d101af70e94,BBP Jalan Penchala,BB018,"No,91,Jalan Penchala,PJS 4,","Petaling Jaya,",46050,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-77728144,03-77732074,bbp-penchala.bomba@1govuc.gov.my,,,,,,,,3.09376,101.64051,,,,false,,,,,2025-03-19T20:41:50.934Z,2025-03-19T20:41:50.934Z
b9b0bfea-ba4a-426b-adeb-f9927a495d4a,KJG,B,cffb5fa7-38ee-4bfb-b7a2-3a8ac7d95b7b,BBP Kajang,BB0115,"Jalan Bukit Mewah,","Kajang,",43000,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-87364444,03-87361344,bbp_kajang@bomba.gov.my,,,,,,,,2.98917,101.79406,,,,false,,,,,2025-03-19T20:41:50.937Z,2025-03-19T20:41:50.937Z
de9be517-e5fa-4c83-8285-d61e3c791abb,KPR,C,4c54aad0-8409-4564-826f-563bb0718fa4,BBP Kapar,BB0284,Persiaran Hamzah Alang,"Kapar, Klang",42200,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-33920984,,bbp_kapar@bomba.gov.my,,,,,,,,3.1355078,101.3754,,,,false,,,,,2025-03-19T20:41:50.940Z,2025-03-19T20:41:50.940Z
179f4f4a-ea5c-4d06-b3af-97765e317a2f,KLI,A,5c177df4-90ec-4433-8462-44785ed5d759,BBP KLIA,BB0175,"B20, K.L. International Airport,","Sepang,",64000,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-87874970,,bbp_klia@bomba.gov.my,,,,,,,,2.78625,101.67767,,,,false,,,,,2025-03-19T20:41:50.943Z,2025-03-19T20:41:50.943Z
291e4a88-0bad-4a01-bfc2-9f505437436f,BJG,B,1441083b-5553-474b-8f8b-1d0dd7feeddb,BBP Kota Anggerik,BB0222,,,,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,,,,,,,,,,,3.1100786,101.5426,,,,false,,,,,2025-03-19T20:41:50.945Z,2025-03-19T20:41:50.945Z
b5c0de5b-0193-44c6-843b-139031e87450,KAR,B,e1df520b-4366-432f-bdaa-2d101af70e94,BBP Kota Raja,BB06,,,,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,,,,,,,,,,,3.0426304,101.44485,,,,false,,,,,2025-03-19T20:41:50.947Z,2025-03-19T20:41:50.947Z
abc798a8-d71c-48e9-8c49-8bf7f55e3525,KKB,C,10e05ecf-e4ec-4ba0-8406-e1fbc6f95012,BBP Kuala Kubu Bharu,BB0251,"Lot 718, Jalan Ampang Pecah,","Kuala Kubu Bharu,",44000,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-60641444,03-60642661,bbp_kkb@bomba.gov.my,,,,,,,,3.5517783,101.661,,,Balai lama ditubuhkan pada 1930,false,,,,,2025-03-19T20:41:50.950Z,2025-03-19T20:41:50.950Z
f28207c2-003d-4ab5-b258-06c198aceae7,KSG,C,c6c7254c-6aec-43c7-ab2f-aa41471e90bf,BBP Kuala Selangor,BB0287,Jalan Pendidikan,Kuala Selangor,45000,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-32891444,019-2049765,bbp-kualasgor.bomba@1govuc.gov.my,,,,,,,,3.326924,101.25448,,,Balai lama ditbuhkan pada 1936,false,,,,,2025-03-19T20:41:50.952Z,2025-03-19T20:41:50.952Z
6fb9a3f3-0eb4-4f8c-bc7c-2fc39a43ec23,PIN,B,cffb5fa7-38ee-4bfb-b7a2-3a8ac7d95b7b,BBP Pandan Indah,BB0185,"Jalan Pandan Utama,","Pandan Indah,",55100,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-92746253,,bbp_pandan@bomba.gov.my,,,,,,,,3.128282,101.749466,,,,false,,,,,2025-03-19T20:41:50.955Z,2025-03-19T20:41:50.955Z
20b79940-5689-43a1-8e66-998aa932c254,PKG,A,4c54aad0-8409-4564-826f-563bb0718fa4,BBP Pelabuhan Klang,BB019,"Persiaran Raja Muda Musa,","Pelabuhan Klang,",42000,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-31684444,03-31655934,bbp-pelklang.bomba@1govuc.gov.my,,,,,,,,3.01212,101.40902,,,,false,,,,,2025-03-19T20:41:50.957Z,2025-03-19T20:41:50.957Z
20261464-e43f-48b9-984d-07046a46ef40,SPJ,A,1441083b-5553-474b-8f8b-1d0dd7feeddb,BBP Petaling Jaya,BB0128,"Jalan Yong Shook Lin,","Petaling Jaya,",46675,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-79585857,,bbp_pj@bomba.gov.my,,,,,,,,3.09749,101.64342,,,,false,,,,,2025-03-19T20:41:50.960Z,2025-03-19T20:41:50.960Z
cb4995cb-ddf8-4be7-ad75-4f06a8ab41d8,PCG,B,e1df520b-4366-432f-bdaa-2d101af70e94,BBP Puchong,BB0248,"Jalan Wawasan, Pusat Bandar Puchong,","Puchong,",47100,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-80707879,03-80707849,bbp_puchong.bomba@gov.my,,,,,,,,3.03988,101.65071,,,,false,,,,,2025-03-19T20:41:50.962Z,2025-03-19T20:41:50.962Z
81974ef9-0c3d-481d-b8c7-2b8a7303fcf5,RWG,A,10e05ecf-e4ec-4ba0-8406-e1fbc6f95012,BBP Rawang,BB0253,"Lot PT4248, Jalan Lingkaran,","Kawasan Perindustrian Rawang Integrasi, Rawang",48000,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-60924444,03-60916434,bbp-rawang@bomba.gov.my,,,,,,,,3.31993,101.57582,,,,false,,,,,2025-03-19T20:41:50.965Z,2025-03-19T20:41:50.965Z
046a4ab8-cc80-449e-950b-e6857e80ea33,SBM,C,c6c7254c-6aec-43c7-ab2f-aa41471e90bf,BBP Sabak Bernam,BB07,"Jalan Raja Chulan,","Sabak Bernam,",45200,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-32161444,03-32164588,bbp-sabak.bomba@1govuc.gov.my,,,,,,,,3.768316,100.983284,,,,false,,,,,2025-03-19T20:41:50.967Z,2025-03-19T20:41:50.967Z
60c970c6-d429-4681-b9fb-1c6272ed6e37,SKN,C,c6c7254c-6aec-43c7-ab2f-aa41471e90bf,BBP Sekinchan,BB0231,"Jalan Bernam,","Sekinchan,",45400,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-32418075,03-32417039,bbp-sekinchan.bomba@1govuc.gov.my,,,,,,,,3.51688,101.09566,,,,false,,,,,2025-03-19T20:41:50.969Z,2025-03-19T20:41:50.969Z
42a98007-2745-40cd-b868-d0120015a501,SLY,B,10e05ecf-e4ec-4ba0-8406-e1fbc6f95012,BBP Selayang,BB0163,"Jalan Persiaran 1,","Bandar Baru Selayang,",68100,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-61365944,03-61387145,bbp_selayang@bomba.gov.my,,,,,,,,3.254278,101.65587,,,,false,,,,,2025-03-19T20:41:50.972Z,2025-03-19T20:41:50.972Z
fab5c398-4d39-43f4-805a-5750855a1425,SMY,C,cffb5fa7-38ee-4bfb-b7a2-3a8ac7d95b7b,BBP Semenyih,BB0267,"Jalan TPS 1/7, Taman Pelangi,",Semenyih,43500,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-87239589,,bbp_semenyih@bomba.gov.my,,,,,,,,2.932065,101.85544,,,,false,,,,,2025-03-19T20:41:50.974Z,2025-03-19T20:41:50.974Z
407b9c0f-da97-4eeb-85b9-94560640f9e1,SPG,C,5c177df4-90ec-4433-8462-44785ed5d759,BBP Sepang,BB038,Jalan Besar,Sepang,43900,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-31421333,,bbp_sepang@bomba.gov.my,,,,,,,,2.687061,101.748024,,,,false,,,,,2025-03-19T20:41:50.977Z,2025-03-19T20:41:50.977Z
5ec935c2-9be9-474e-8b1f-a385a5727230,SRD,A,e1df520b-4366-432f-bdaa-2d101af70e94,BBP Serdang,BB0190,"Balai Bomba dan Penyelamat Serdang, Jalan Raya Serdang, 09800 Kedah Darul Aman",,9800,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,04-4077444,04-4076526,bomba.serdang.kedah@gmail.com,,,,,,,,3.021105,101.70157,,,,false,,,,,2025-03-19T20:41:50.979Z,2025-03-19T20:41:50.979Z
5538d0f4-7de9-45e8-8bac-922314098201,SHA,A,1441083b-5553-474b-8f8b-1d0dd7feeddb,BBP Shah Alam,BB0104,"Persiaran Sultan, Seksyen 15,","Shah Alam,",40200,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-55196444,,bbp-shahalam.bomba@1govuc.gov.my,,,,,,,,3.06053,101.52106,,,,false,,,,,2025-03-19T20:41:50.981Z,2025-03-19T20:41:50.981Z
8c845c8b-8a0c-42c9-9eff-0b9e2dd58d31,AND,B,4c54aad0-8409-4564-826f-563bb0718fa4,BBP Sri Andalas,BB0167,"Jalan Tun Dr. Ismail, Taman Seri Andalas,","Klang,",41200,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-33734444,,bbp_andalas@bomba.gov.my,,,,,,,,3.01902,101.44986,,,,false,,,,,2025-03-19T20:41:50.984Z,2025-03-19T20:41:50.984Z
a44dd94c-2399-4593-91f4-48430b89fc03,SBJ,A,e1df520b-4366-432f-bdaa-2d101af70e94,BBP Subang Jaya,BB0208,"Lot 7345, Jalan SS 17/2,","Subang Jaya,",47500,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-56349444,,bbp_subang@bomba.gov.my,,,,,,,,3.04252,101.35048,,,,false,,,,,2025-03-19T20:41:50.986Z,2025-03-19T20:41:50.986Z
38c2f443-cc35-48a9-ab7d-e93dc5b2366c,SBR,C,c6c7254c-6aec-43c7-ab2f-aa41471e90bf,BBP Sungai Besar,BB0234,"Jalan Sungai Limau,","Sungai Besar,",45300,b74645e5-3ad2-4dd9-ba72-3b7eb8f16643,03-32246434,03-32244816,bbp_sgbesar@bomba.gov.my,,,,,,,,3.664708,100.99129,,,,false,,,,,2025-03-19T20:41:50.989Z,2025-03-19T20:41:50.989Z
