id_pili,hydrant_id_uuid,station_id_uuid,station_id,station_code,zon,no_pili,pili_num_combine,alamat,no_premis,id_kedudukan,kedudukan,latitud,longitud,id_negeri,state_id_uuid,negeri,id_daerah,daerah,id_pemilikan_pili,pemilikan_pili,id_status_pili,status_pili,diameter_pengeluaran,image_1,id_jenis_pili,jenis_pili,id_parlimen,parlimen,tarikh_pili,id_syarikat_air,id_bandar,bandar,city_id_uuid
562388,d9446c78-f93c-43ac-b9b5-6546bb92b2f5,c4a96c5b-759e-4542-a2be-651f4b0d596c,471,KLC,A,001,KLC-A-001,DEPAN ANJUNG FELDA JALAN MAKTAB,ANJUNG FELDA,1,Hadapan,3.101958,101.431511,7,55c38deb-aae3-44c5-bfac-0bb919effec4,Wilayah Persekutuan Kuala Lumpur,137,WP Kuala Lumpur,1,Awam,1,Berfungsi,1430.96,images/img_pili/20200922114524508.,1,Pillar Hydrant,119,Titiwangsa,0000-00-00,0,1,KUALA LUMPUR (WP),88beb013-6a67-4936-9afd-b84a072cb60f
563673,3ab88ebd-f49d-4a87-b248-645860e21ef5,c4a96c5b-759e-4542-a2be-651f4b0d596c,471,KLC,A,002,KLC-A-002,PONDOK PENGAWAL ANJUNG FELDA,PONDOK PENGAWAL ANJUNG FELDA,3,Berhampiran,3.170221,101.719048,7,55c38deb-aae3-44c5-bfac-0bb919effec4,Wilayah Persekutuan Kuala Lumpur,137,WP Kuala Lumpur,2,Swasta,2,Tidak Berfungsi,0,images/img_pili/20201022151302466.,1,Pillar Hydrant,119,Titiwangsa,0000-00-00,0,108,KUALA LUMPURA (WP),9e34d0e5-3888-45bb-b3f5-462f2a1519cf
563678,95961246-a61c-4f24-b2a9-90af4087ccdb,c4a96c5b-759e-4542-a2be-651f4b0d596c,471,KLC,A,003,KLC-A-003,DEPAN FELDA D'SAJI,DEPAN FELDA D'SAJI,1,Hadapan,3.102134,101.432045,7,55c38deb-aae3-44c5-bfac-0bb919effec4,Wilayah Persekutuan Kuala Lumpur,137,WP Kuala Lumpur,2,Swasta,2,Tidak Berfungsi,0,images/img_pili/20201022151623337.,1,Pillar Hydrant,119,Titiwangsa,0000-00-00,0,89,KUALA  LUMPUR (WP),53aa1806-b81f-4985-8066-6a9cf92f1446
563681,aa66e795-93b7-4487-a036-bb35281a76dc,c4a96c5b-759e-4542-a2be-651f4b0d596c,471,KLC,A,004,KLC-A-004,SEBELAH KANAN DEWAN FELDA ,SEBELAH KANAN DEWAN FELDA ,6,Kanan,3.10218,101.432466,7,55c38deb-aae3-44c5-bfac-0bb919effec4,Wilayah Persekutuan Kuala Lumpur,137,WP Kuala Lumpur,2,Swasta,2,Tidak Berfungsi,0,images/img_pili/20201022151853750.,1,Pillar Hydrant,119,Titiwangsa,0000-00-00,0,89,KUALA  LUMPUR (WP),53aa1806-b81f-4985-8066-6a9cf92f1446
563684,1b161056-9992-4bf6-8c79-c2f7ebe51c26,c4a96c5b-759e-4542-a2be-651f4b0d596c,471,KLC,A,005,KLC-A-005,SEBELAH BELAKANG DEWAN FELDA ,SEBELAH BELAKANG DEWAN FELDA ,2,Belakang,3.101891,101.432566,7,55c38deb-aae3-44c5-bfac-0bb919effec4,Wilayah Persekutuan Kuala Lumpur,137,WP Kuala Lumpur,2,Swasta,1,Berfungsi,635.981,images/img_pili/20201022152023102.,1,Pillar Hydrant,119,Titiwangsa,0000-00-00,0,89,KUALA  LUMPUR (WP),53aa1806-b81f-4985-8066-6a9cf92f1446
563688,2775d417-27b6-43d0-811f-369caf85fcd8,c4a96c5b-759e-4542-a2be-651f4b0d596c,471,KLC,A,006,KLC-A-006,SEBELAH KIRI DEWAN FELDA ,SEBELAH KIRI DEWAN FELDA ,5,Kiri,3.101822,101.432131,7,55c38deb-aae3-44c5-bfac-0bb919effec4,Wilayah Persekutuan Kuala Lumpur,137,WP Kuala Lumpur,2,Swasta,1,Berfungsi,635.981,images/img_pili/20201022152155732.,1,Pillar Hydrant,119,Titiwangsa,0000-00-00,0,89,KUALA  LUMPUR (WP),53aa1806-b81f-4985-8066-6a9cf92f1446
563693,760a26bc-c6ab-47ea-a661-1270868e4a54,c4a96c5b-759e-4542-a2be-651f4b0d596c,471,KLC,A,007,KLC-A-007,TADIKA SEMAI BAKTI JALAN PERSIARAN GURNEY,TADIKA SEMAI BAKTI ,1,Hadapan,3.170066,101.718861,7,55c38deb-aae3-44c5-bfac-0bb919effec4,Wilayah Persekutuan Kuala Lumpur,137,WP Kuala Lumpur,2,Swasta,1,Berfungsi,635.981,images/img_pili/20201022152436224.,1,Pillar Hydrant,119,Titiwangsa,0000-00-00,0,89,KUALA  LUMPUR (WP),53aa1806-b81f-4985-8066-6a9cf92f1446
563698,b6f4703d-0c67-4328-a969-ee578fe7e214,c4a96c5b-759e-4542-a2be-651f4b0d596c,471,KLC,A,008,KLC-A-008,"DEPAN TADIKA SMART KIDS, JALAN GURNEY 1",DEPAN TADIKA SMART KIDS,1,Hadapan,3.100899,101.429506,7,55c38deb-aae3-44c5-bfac-0bb919effec4,Wilayah Persekutuan Kuala Lumpur,137,WP Kuala Lumpur,1,Awam,1,Berfungsi,635.981,images/img_pili/20201022152653551.,1,Pillar Hydrant,119,Titiwangsa,0000-00-00,0,89,KUALA  LUMPUR (WP),53aa1806-b81f-4985-8066-6a9cf92f1446
563703,1f67fda8-cf7d-4150-b832-75f29d14941a,c4a96c5b-759e-4542-a2be-651f4b0d596c,471,KLC,A,009,KLC-A-009,"DEPAN RUMAH TAMU UTM, JALAN GURNEY 1",DEPAN RUMAH TAMU UTM,1,Hadapan,3.100588,101.42929,7,55c38deb-aae3-44c5-bfac-0bb919effec4,Wilayah Persekutuan Kuala Lumpur,137,WP Kuala Lumpur,2,Swasta,1,Berfungsi,778.915,images/img_pili/20201022153058804.,1,Pillar Hydrant,119,Titiwangsa,0000-00-00,0,89,KUALA  LUMPUR (WP),53aa1806-b81f-4985-8066-6a9cf92f1446
563707,cab702ed-380d-465a-9105-b11f6fcf7462,c4a96c5b-759e-4542-a2be-651f4b0d596c,471,KLC,A,010,KLC-A-010,"BELAKANG HAYALA APARTMENT, JALAN GURNEY 1",HAYALA APARTMENT,2,Belakang,3.168054,101.716485,7,55c38deb-aae3-44c5-bfac-0bb919effec4,Wilayah Persekutuan Kuala Lumpur,137,WP Kuala Lumpur,1,Awam,2,Tidak Berfungsi,0,images/img_pili/20201022153812255.,1,Pillar Hydrant,119,Titiwangsa,0000-00-00,0,89,KUALA  LUMPUR (WP),53aa1806-b81f-4985-8066-6a9cf92f1446
563709,1a4b0868-9a52-4db5-bb50-870524391355,c4a96c5b-759e-4542-a2be-651f4b0d596c,471,KLC,A,011,KLC-A-011,"HADAPAN RUMAH NO.52, JALAN GURNEY",NO.52,1,Hadapan,3.10194,101.431528,7,55c38deb-aae3-44c5-bfac-0bb919effec4,Wilayah Persekutuan Kuala Lumpur,137,WP Kuala Lumpur,1,Awam,2,Tidak Berfungsi,0,images/img_pili/20201022154124522.,2,Ground Hydrant,119,Titiwangsa,0000-00-00,0,89,KUALA  LUMPUR (WP),53aa1806-b81f-4985-8066-6a9cf92f1446
563712,f2ce3486-eb56-4102-99c5-9951219f58d3,c4a96c5b-759e-4542-a2be-651f4b0d596c,471,KLC,A,012,KLC-A-012,"HADAPAN RUMAH NO 8B, JALAN GURNEY 2",NO. 8B,1,Hadapan,3.100551,101.429773,7,55c38deb-aae3-44c5-bfac-0bb919effec4,Wilayah Persekutuan Kuala Lumpur,137,WP Kuala Lumpur,2,Swasta,1,Berfungsi,635.981,images/img_pili/20201022154403254.,1,Pillar Hydrant,119,Titiwangsa,0000-00-00,0,89,KUALA  LUMPUR (WP),53aa1806-b81f-4985-8066-6a9cf92f1446
563713,fa9daeb3-73b4-4b5e-a65e-95785df67971,c4a96c5b-759e-4542-a2be-651f4b0d596c,471,KLC,A,013,KLC-A-013,DEPAN RUMAH N0 8E JALAN GURNEY 2,DEPAN RUMAH N0 8E JALAN GURNEY 2,1,Hadapan,3.100236,101.430091,7,55c38deb-aae3-44c5-bfac-0bb919effec4,Wilayah Persekutuan Kuala Lumpur,137,WP Kuala Lumpur,1,Awam,1,Berfungsi,635.981,images/img_pili/20201022154626162.,1,Pillar Hydrant,119,Titiwangsa,0000-00-00,0,89,KUALA  LUMPUR (WP),53aa1806-b81f-4985-8066-6a9cf92f1446
563715,bb9eab7e-7684-4c48-8744-a83071104601,c4a96c5b-759e-4542-a2be-651f4b0d596c,471,KLC,A,014,KLC-A-014,DEPAN TADIKA CAPITAL JALAN PERUMAHAN GURNEY,DEPAN TADIKA CAPITAL JALAN PERUMAHAN GURNEY,1,Hadapan,3.101135,101.431244,7,55c38deb-aae3-44c5-bfac-0bb919effec4,Wilayah Persekutuan Kuala Lumpur,137,WP Kuala Lumpur,1,Awam,2,Tidak Berfungsi,0,images/img_pili/20201022154841314.,2,Ground Hydrant,119,Titiwangsa,0000-00-00,0,89,KUALA  LUMPUR (WP),53aa1806-b81f-4985-8066-6a9cf92f1446
563717,6a4a3dd9-bafc-43f5-a7ac-e8e7ac43700f,c4a96c5b-759e-4542-a2be-651f4b0d596c,471,KLC,A,015,KLC-A-015,DEPAN RUMAH N0 26 JALAN GURNEY 2,DEPAN RUMAH N0 26 JALAN GURNEY 2,1,Hadapan,3.100386,101.431289,7,55c38deb-aae3-44c5-bfac-0bb919effec4,Wilayah Persekutuan Kuala Lumpur,137,WP Kuala Lumpur,1,Awam,2,Tidak Berfungsi,0,images/img_pili/20201022155037263.,1,Pillar Hydrant,119,Titiwangsa,0000-00-00,0,89,KUALA  LUMPUR (WP),53aa1806-b81f-4985-8066-6a9cf92f1446
