no_pili,latitude,longitude
PJY-A-001,2.93678,101.69591
PJY-A-002,2.9362,101.69598
PJY-A-003,2.93474,101.69492
PJY-A-004,2.93444,101.69419
PJY-A-005,2.93441,101.69517
PJY-A-006,2.93454,101.69585
PJY-A-007,2.93478,101.69647
PJY-A-008,2.93537,101.69703
PJY-A-009,2.93609,101.6969
PJY-A-010,2.9369,101.69672
PJY-A-011,2.9374,101.69601
PJY-A-012,2.93746,101.6959
PJY-A-013,2.93712,101.69514
PJY-A-014,2.93697,101.69441
PJY-A-015,2.937041,101.693786
PJY-A-016,2.93568,101.69465
PJY-A-017,2.93519,101.69482
PJY-A-018,2.93527,101.69553
PJY-A-019,2.93546,101.69641
PJY-A-020,2.93641,101.69461
PJY-A-021,2.93861,101.69335
PJY-A-022,2.93838,101.69356
PJY-A-023,2.93769,101.69308
PJY-A-024,2.93787,101.69241
PJY-A-025,2.9378,101.69142
PJY-A-026,2.93859,101.69131
PJY-A-027,2.93944,101.69158
PJY-A-028,2.94023,101.69163
PJY-A-029,2.93961,101.69226
PJY-A-030,2.93902,101.69256
PJY-A-031,2.93937,101.69292
PJY-A-032,2.9394,101.69383
PJY-A-033,2.93909,101.69431
PJY-A-034,2.93767,101.7008
PJY-A-035,2.93748,101.69943
PJY-A-036,2.93631,101.69971
PJY-A-037,2.93681,101.69897
PJY-A-038,2.93616,101.69869
PJY-A-039,2.93571,101.6992
PJY-A-040,2.93536,101.69972
PJY-A-041,2.93462,101.70007
PJY-A-042,2.93539,101.70081
PJY-A-043,2.93708,101.70092
PJY-A-044,2.937115,101.700918
PJY-A-045,2.93775,101.70014
PJY-A-046,2.93612,101.70116
PJY-A-047,2.93667,101.70071
PJY-A-048,2.93711,101.7001
PJY-A-049,2.935045,101.698413
PJY-A-050,2.93564,101.6919
PJY-A-051,2.93491,101.69193
PJY-A-052,2.93442,101.69147
PJY-A-053,2.93448,101.69067
PJY-A-054,2.93507,101.69024
PJY-A-055,2.9354,101.69002
PJY-A-056,2.93586,101.69023
PJY-A-057,2.93606,101.69063
PJY-A-058,2.93614,101.69116
PJY-A-059,2.939,101.70358
PJY-A-060,2.93995,101.70462
PJY-A-061,2.93839,101.70598
PJY-A-062,2.93783,101.70554
PJY-A-063,2.93722,101.70515
PJY-A-064,2.93947,101.70544
PJY-A-065,2.93891,101.70562
PJY-A-066,2.9344,101.70557
PJY-A-067,2.93766,101.70504
PJY-A-068,2.93722,101.70477
PJY-A-069,2.93818,101.70522
PJY-A-070,2.93844,101.70377
PJY-A-071,2.93907,101.7043
PJY-A-072,2.93843,101.70341
PJY-A-073,2.93784,101.70313
PJY-A-074,2.93855,101.70363
PJY-A-075,2.938,101.7034
PJY-A-076,2.93657,101.70437
PJY-A-077,2.94319,101.69887
PJY-A-078,2.94082,101.69925
PJY-A-079,2.94032,101.6987
PJY-A-080,2.93984,101.69793
PJY-A-081,2.93983,101.69716
PJY-A-082,2.94043,101.69659
PJY-A-083,2.94125,101.69658
PJY-A-084,2.94204,101.69788
PJY-A-085,2.942,101.69784
PJY-A-086,2.94268,101.6983
PJY-A-087,2.9397,101.7008
PJY-A-088,2.94152,101.70592
PJY-A-089,2.94187,101.70546
PJY-A-090,2.93944,101.70495
PJY-A-091,2.94384,101.69527
PJY-A-092,2.94295,101.69375
PJY-A-093,2.94271,101.69264
PJY-A-094,2.94394,101.69432
PJY-A-095,2.94467,101.69502
PJY-A-096,2.94572,101.69552
PJY-A-097,2.94691,101.69553
PJY-A-098,2.95018,101.69958
PJY-A-099,2.95144,101.7041
PJY-A-100,2.94465,101.6934
PJY-A-101,2.94529,101.69431
PJY-A-102,2.942984,101.700241
PJY-A-103,2.94351,101.69971
PJY-A-104,2.94323,101.69936
PJY-A-105,2.94257,101.69997
PJY-A-106,2.945511,101.700225
PJY-A-107,2.946013,101.700107
PJY-A-108,2.94586,101.700942
PJY-A-109,2.945222,101.701248
PJY-A-110,2.945231,101.701755
PJY-A-111,2.944749,101.702011
PJY-A-112,2.9333,101.69032
PJY-A-113,2.932799,101.690046
PJY-A-114,2.93242,101.68999
PJY-A-115,2.9319,101.68987
PJY-A-116,2.93952,101.70535
PJY-A-117,2.944686,101.701332
PJY-A-118,2.94318,101.705786
PJY-A-119,2.94359,101.70699
PJY-A-120,2.94357,101.70634
PJY-A-121,2.94323,101.70589
PJY-A-122,2.94258,101.7059
PJY-A-123,2.94382,101.70721
